Nombre del producto,Descripcion,Categoria,Precio de lista,Precio con descuento,Link del producto,Stock,Sku (codigo de referencia)
HEINZ MAYO DPX200GR,HEINZ MAYO DPX200GR,/Almacén/Aderezos/Mayonesas/,140.99,140.99,https://www.hiperlibertad.com.ar/heinz-mayo-dpx200gr/p,11,422005
Bombones Bonobon leche 105 Gr,Bombones Bonobon leche 105 Gr,/Almacén/Golosinas y Chocolates/Bombones/,362.49,260.99,https://www.hiperlibertad.com.ar/bombones-bonobon-leche-105-gr/p,55,418910
BOMBONES DE CHOCOLATE BON O BON SURTIDOS 255 GR,BOMBONES DE CHOCOLATE BON O BON SURTIDOS 255 GR,/Almacén/Golosinas y Chocolates/Bombones/,1011.49,728.1,https://www.hiperlibertad.com.ar/bombones-de-chocolate-bon-o-bon-surtidos-255-gr/p,177,418909
PERAS PIACERE EN MITADES X 820 Gr PERAS PIACEREX820GR,PERAS PIACERE EN MITADES X 820 Gr,/Almacén/Conservas/Conservas de frutas/,379.99,299.99,https://www.hiperlibertad.com.ar/peras-piacere-en-mitades-x-820-gr/p,14,418737
"Agua Baja en Sodio Bidon Glaciar 6,3 lt","Agua Baja en Sodio Bidon Glaciar 6,3 lt",/Bebidas/Aguas/Aguas sin gas/,398.49,398.49,https://www.hiperlibertad.com.ar/agua-baja-en-sodio-bidon-glaciar-6-3-lt/p,139,413086
Medallon de pollo Swift Cong 4 un MEDALLON.POLLO.SWIFT.X4U -,Medallon de pollo Swift Cong 4 un,/CONGELADOS/Prefritos congelados/,449.99,449.99,https://www.hiperlibertad.com.ar/medallon-de-pollo-swift-cong-4-un/p,94,412431
Tapas Para Empanadas Salteña sin TACC x 12 un,Tapas Para Empanadas Salteña sin TACC x 12 unidades,/PASTAS FRESCAS Y TAPAS/Tapas/,329.99,329.99,https://www.hiperlibertad.com.ar/tapas-para-empanadas-saltena-sin-tacc-x-12-un/p,5,412293
ESPONJA VIRULANA MULTIONDAS SIN RAYAR X 1 U,ESPONJA VIRULANA MULTIONDAS SIN RAYAR X 1 U,/Limpieza/Accesorios de Limpieza/Esponjas y Guantes/,75.99,75.99,https://www.hiperlibertad.com.ar/esponja-virulana-multiondas-sin-rayar-x-1-u/p,1,411327
ESPONJA GO ULTRA IDEAL COCIN ESPONJA LA GAUCHITA GO! ULTRA IDEAL COCINA X 1 U,ESPONJA GO ULTRA IDEAL COCIN,/Limpieza/Accesorios de Limpieza/Esponjas y Guantes/,89.99,89.99,https://www.hiperlibertad.com.ar/esponja-go-ultra-ideal-cocin/p,11,411323
ESPONJA LA GAUCHITA GO! BIO IDEAL BAÑOS X 1 U,ESPONJA LA GAUCHITA GO! BIO IDEAL BAÑOS X 1 U,/Limpieza/Accesorios de Limpieza/Esponjas y Guantes/,95.99,95.99,https://www.hiperlibertad.com.ar/esponja-la-gauchita-go-bio-ideal-ba-os-x-1-u/p,32,411320
Bollito de Acero Inoxidable Go!,"Esponja de acero inoxidable de 14 gr, ideal para remover suciedad difícil. Pack de conveniencia",/Limpieza/Accesorios de Limpieza/Esponjas y Guantes/,155.99,155.99,https://www.hiperlibertad.com.ar/bollito-de-acero-inoxidable-go-2/p,15,411312
Gaseosa Sprite Lima-Limón 1 Lt,"Sprite te invita a Mantenerte Fresco, y es la gaseosa sabor lima-limón. Sprite es refrescante, transparente con una personalidad auténtica, honesta e irreverente. Es ideal para esos momentos en los que quieres saciar tu sed y buscas una bebida con un sabor diferente, cuando estas solo, con amigos o familia, acompañar tus comidas y refrescar la rutina de todos los días. Y esta disponible sus versiones con y sin azúcar.",/Bebidas/GASEOSAS/LIMÓN/,143.99,143.99,https://www.hiperlibertad.com.ar/gaseosa-sprite-lima-lim-n-1-lt/p,65,410818
Agua Mineral Lagoa Bidon 6.5 lt,Agua Mineral Lagoa Bidon 6.5 lt,/Bebidas/Aguas/Aguas sin gas/,179.0,179.0,https://www.hiperlibertad.com.ar/agua-mineral-lagoa-bidon-6-5-lt/p,299,410663
Oblea Kit Kat 41 Gr,Oblea Kit Kat 41 Gr,/Almacén/Golosinas y Chocolates/Bocaditos/,196.99,106.2,https://www.hiperlibertad.com.ar/oblea-kit-kat-41-gr/p,2488,410183
Shampoo Clear Men Anticaspa Caída Control 200 ML,"Shampoo Anticaspa Clear Caída Control (200 ml) creado especialmente para hombres, es un shampoo para caspa.  CLEAR Caída Control  ayuda a fortalecer el pelo dejándolo fuerte* y resistente desde la raíz. Elaborado con Pro Nutrium Ginseng, activa la capa de protección natural del cuero cabelludo. Es el tratamiento capilar que te garantiza estar libre de escamas visibles con su uso regular. 
La caspa es una afección dermatológica común del cuero cabelludo que afecta hasta un 50% de la población mundial. La misma consiste en el desprendimiento de células muertas de la piel del cuero cabelludo. Si bien este proceso es normal, algunas personas presentan una mayor pérdida que el promedio. Dichas células, se agrupan para producir escamas visibles conocidas como caspa o, según su nombre clínico, Pityriasis Capitis.  El shampoo para hombres Clear Men con minerales oceánicos te garantiza Cero caspa.Su fórmula con Bio Nutrium 10 activa la capa de protección natural del cuero cabelludo, lo que te mantiene a prueba de la misma. Con 10 nutrientes y extractos botánicos que permiten la limpieza y el cuidado para un cabello saludable y manejable los 365 días Libre de Caspa con el uso diario.
Es un producto 100% para Hombres, para todo tipo de cabello y cuero Cabelludo.
*Menos quiebre Vs shampoo sin agentes acondicionadores.",/Perfumería/Cuidado Capilar/Shampoo/,377.99,377.99,https://www.hiperlibertad.com.ar/shampoo-clear-men-anticaspa-ca-da-control-200-ml/p,161,410146
Leche en Polvo La Serenísima Baby Etapa 3 - 800 Gr LECHE EN POLVO LA SERENISIMA BABY 3 X 800G,Leche en Polvo La Serenísima Baby Etapa 3 - 800 Gr,/Almacén/Desayuno y Merienda/Leches en polvo/,1803.49,1803.49,https://www.hiperlibertad.com.ar/leche-en-polvo-la-seren-sima-baby-etapa-3-800-gr/p,15,409925
Enjuague Bucal Colgate Plax Ice Glacial 500 ml,Enjuague Bucal Colgate Plax Ice Glacial 500 ml,/Perfumería/Cuidado Oral/Enjuagues Bucales/,625.49,625.49,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-plax-ice-glacial-500-ml/p,12,409323
Desodorante Masculino AXE Apollo en Barra 54 g,"El desodorante en barra AXE Apollo para hombre es uno de nuestras clásicas fragancias. Masculina y sofisticada.
Apollo es el desodorante para hombre clave para esos días en los que necesitás viajar a otro mundo. Con un carácter joven pero a la vez masculino, te ayuda a encarar el día con seguridad. Frescas notas de frutos verdes, sándalo y salvia te mantienen
oliendo excelente. 
Todo el mundo transpira, es un hecho de la vida. El verdadero problema es cuando la transpiración resulta con mal olor. Tener un olor poco fresco puede arruinar tu estilo si estás en una cita, en una entrevista de trabajo o simplemente saliendo con amigos. La clave para mantener la transpiración y el olor corporal bajo control es usando un buen desodorante o antitranspirante AXE. Se diferencian de los otros productos por su fragancia, cada desodorante masculino de Axe tiene una fragancia única. Vas a obtener el mismo efecto que como si recién hubieras salido de la ducha.
 ¿Sabes cómo aplicarte correctamente? Te damos algunos consejos para que tu fragancia te acompañe todo el día. Lo primero que tenés que hacer es destapar y aplicar directamente sobre las axilas lavadas y secas. Espera un minuto y vístete. Listo.  Podés aplicar por la mañana y por a la noche. Deja que tu fragancia te acompañe. Combina esta fragancia con el Antitranspirante Urban que te brinda protección durante 48 hs. Fragancia fresca. Todo el día.",/Perfumería/Cuidado Personal/Desodorantes de Hombre/,296.99,296.99,https://www.hiperlibertad.com.ar/desodorante-masculino-axe-apollo-en-barra-54-g/p,1,409233
