Nombre del producto,Descripcion,Categoria,Precio de lista,Precio con descuento,Link del producto,Stock,Sku (codigo de referencia)
ROLLOS DE COCINA SUSSEX CLASICO 3 X 50 PAÑOS,ROLLOS DE COCINA SUSSEX CLASICO 3 X 50 PAÑOS,/Limpieza/Papeles/Rollos de Cocina/,302.99,163.99,https://www.hiperlibertad.com.ar/rollos-de-cocina-sussex-clasico-3-x-50-pa-os/p,5849,485910
GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,196.99,196.99,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-x-118-gr/p,2828,486776
PAPEL HIGIENICO HIGIENOL MAX HOJA SIMPLE TECNOLOGIA PANAL 100 Mts x 4 U,PAPEL HIGIENICO HIGIENOL MAX HOJA SIMPLE TECNOLOGIA PANAL 100 Mts x 4 U,/Limpieza/Papeles/Papel Higiénico/,753.99,410.99,https://www.hiperlibertad.com.ar/papel-higienico-higienol-max-hoja-simple-tecnologia-panal-100-mts-x-4-u/p,581,485870
COSTELETA DE CERDO X 500 G,COSTELETA DE CERDO x 500 g,/CARNES/Carne de cerdo/,399.0,399.0,https://www.hiperlibertad.com.ar/costeleta-de-cerdo-x-500-g/p,243,471788
SUPREMA DE POLLO FRESCA X 1 KG,SUPREMA DE POLLO FRESCA X 1 KG,/CARNES/Carne de Pollo/,899.0,899.0,https://www.hiperlibertad.com.ar/suprema-de-pollo-fresca-x-1-kg/p,1591,471730
Leche Entera UAT MANFREY Larga Vida 1 L,Leche Entera UAT MANFREY Larga Vida 1 L,/Lácteos/Leches/Larga Vida/,145.99,145.99,https://www.hiperlibertad.com.ar/leche-entera-uat-manfrey-larga-vida-1-l/p,20641,423284
Azucar Azucel 1 Kilo,Azucar Azucel 1 Kilo,/Almacén/Desayuno y Merienda/Azucar y Edulcorantes/,224.0,224.0,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,7264,366159
Rollo de Cocina Campanita Minimega 2unid. x 100mts.,Rollo de Cocina Campanita Minimega 2unid. x 100mts.,/Limpieza/Papeles/Rollos de Cocina/,191.99,191.99,https://www.hiperlibertad.com.ar/rollo-de-cocina-campanita-minimega-2unid-x-100mts/p,3131,356188
Arroz parboil Gallo Oro 500 Gr ARROZ GALLO PARBOIL X500GR,Arroz parboil Gallo Oro 500 Gr,/Almacén/Arroz y Legumbres/Arroz/,106.99,89.99,https://www.hiperlibertad.com.ar/arroz-parboil-gallo-oro-500-gr/p,2127,345318
Pure De Tomate Marolio 520 Gr PURE TOM MAROLIO X520G,Pure De Tomate Marolio 520 Gr,/Almacén/Conservas/Conservas de tomate/,113.49,72.99,https://www.hiperlibertad.com.ar/pure-de-tomate-marolio-520-gr/p,2376,330611
Leche Descremada C/Calcio LA LACTEO Larga Vida 1 L LECHE LV LACTEO DE C/CX1LT,Leche Descremada C/Calcio LA LACTEO Larga Vida 1 L,/Lácteos/Leches/Larga Vida/,179.99,179.99,https://www.hiperlibertad.com.ar/leche-descremada-c-calcio-la-lacteo-larga-vida-1-l/p,353,294231
Leche Entera C/Calcio LA LACTEO Larga Vida 1 L LECHE LV LACTEO EN C/CX1LT,Leche Entera C/Calcio LA LACTEO Larga Vida 1 L,/Lácteos/Leches/Larga Vida/,179.99,179.99,https://www.hiperlibertad.com.ar/leche-entera-c-calcio-la-lacteo-larga-vida-1-l/p,4878,294226
Galletitas crackers Traviata sandwich 5 x 101 Gr GALL.BAGLEY TRAVIATA  X506GR,Galletitas crackers Traviata sandwich 5 x 101 Gr,/Almacén/Desayuno y Merienda/Galletitas saladas/,417.99,228.6,https://www.hiperlibertad.com.ar/galletitas-crackers-traviata-sandwich-5-x-101-gr/p,4518,153555
Pan Lactal Familiar Veneziana Blanco 600 Gr,Pan Lactal Familiar Veneziana Blanco 600 Gr,/Almacén/Panificados/Pan Lactal/,263.49,263.49,https://www.hiperlibertad.com.ar/pan-lactal-familiar-veneziana-blanco-600-gr/p,38,89078
"ACEITE DE GIRASOL LEGITIMO X 1,5 Lts","ACEITE DE GIRASOL LEGITIMO X 1,5 Lts",/Almacén/Aceites y Vinagres/Aceites de Girasol/,303.96,303.96,https://www.hiperlibertad.com.ar/aceite-de-girasol-legitimo-x-1-5-lts/p,922,491218
GALLETAS PEPITOS REGULAR X 119 Gr GALL PEPITOS REGULAR 119G,GALLETAS PEPITOS REGULAR X 119 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,183.99,174.49,https://www.hiperlibertad.com.ar/galletas-pepitos-regular-x-119-gr/p,2470,486805
GALLETAS OREO ORIGINAL VEGGIE TRIPACK X 354 Gr,GALLETAS OREO ORIGINAL VEGGIE TRIPACK X 354 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,516.49,489.49,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-tripack-x-354-gr/p,2266,486777
GALLETAS PEPITOS ORIGINAL TRIPACK X 357 Gr,GALLETAS PEPITOS ORIGINAL TRIPACK X 357 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,491.49,491.49,https://www.hiperlibertad.com.ar/galletas-pepitos-original-tripack-x-357-gr/p,1396,486775
JABON LIQUIDO ALA ECOLAVADO PARA DILUIR X 500 Ml,JABON LIQUIDO ALA ECOLAVADO PARA DILUIR X 500 Ml,/Limpieza/Cuidado de la Ropa/Jabón Líquido/,937.99,937.99,https://www.hiperlibertad.com.ar/jabon-liquido-ala-ecolavado-para-diluir-x-500-ml/p,944,486270
PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,/Limpieza/Papeles/Papel Higiénico/,288.99,288.99,https://www.hiperlibertad.com.ar/papel-higienico-higienol-export-hoja-simple-30-mts-x-4-u/p,3596,485854
Limpiador  CIF  Bioactive Antigrasa 450 ml Doypack,Limpiador  CIF  Bioactive Antigrasa 450 ml Doypack,/Limpieza/Limpieza de Cocina/Limpiadores/,137.99,91.99,https://www.hiperlibertad.com.ar/limpiador-cif-bioactive-antigrasa-450-ml-doypack/p,123,485807
MAYONESA HELLMANNS CLASICA X 475 Gr,MAYONESA HELLMANNS CLASICA X 475 Gr,/Almacén/Aderezos/Mayonesas/,209.49,209.49,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-clasica-x-475-gr/p,2637,485425
ARROZ MARÍA LARGO FINO X 1KG,ARROZ MARÍA LARGO FINO X 1KG,/Almacén/Arroz y Legumbres/Arroz/,153.49,153.49,https://www.hiperlibertad.com.ar/arroz-mar-a-largo-fino-x-1kg/p,7733,482363
CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr,CAFE NESCAFE DOLCA SUAVE MAS AROMA X 170 Gr,/Almacén/Desayuno y Merienda/Cafés/,952.49,557.1,https://www.hiperlibertad.com.ar/cafe-nescafe-dolca-suave-aroma-x-170-gr-2/p,929,481064
MOSTAZA SAVORA DP X250G MOSTAZA SAVORA DOY PACK X 250G,MOSTAZA SAVORA DP X250G,/Almacén/Aderezos/Mostazas/,149.99,149.99,https://www.hiperlibertad.com.ar/mostaza-savora-dp-x250g/p,744,480270
QUESO DAMBO TREGARX250GR QUESO DAMBO TREGAR X 250 Gr,QUESO DAMBO TREGARX250GR,/QUESOS Y FIAMBRES/Quesos/Quesos semiduros/,287.49,287.49,https://www.hiperlibertad.com.ar/queso-dambo-tregarx250gr/p,21,479316
BIZ  9 DE ORO AGRIDULCE 215 G BIZCOCHOS 9 DE ORO AGRIDULCE 215 G,BIZ  9 DE ORO AGRIDULCE 215 G,/Almacén/Desayuno y Merienda/Galletitas dulces/,172.99,100.79,https://www.hiperlibertad.com.ar/biz-9-de-oro-agridulce-215-g/p,5640,478942
BIZ 9 DE ORO CLASICOS 215G BIZCOCHOS 9 DE ORO CLASICOS 215G,BIZ 9 DE ORO CLASICOS 215G,/Almacén/Desayuno y Merienda/Galletitas saladas/,172.99,100.79,https://www.hiperlibertad.com.ar/biz-9-de-oro-clasicos-215g/p,3900,478941
CAFE LA VIRGINIA SOBRE 20S,CAFE LA VIRGINIA SOBRE 20S,/Almacén/Desayuno y Merienda/Cafés/,365.49,365.49,https://www.hiperlibertad.com.ar/cafe-la-virginia-sobre-20s/p,1205,477092
DULCE DE LECHE LA SERENÍSIMA CLASICO 400G,DULCE DE LECHE LA SERENÍSIMA CLASICO 400G,/Lácteos/Dulce de Leche/Tradicional/,204.36,204.36,https://www.hiperlibertad.com.ar/dul-leche-ls-clasico-400g/p,116,472830
PAPA CEPILLADA X 1 KG,PAPA CEPILLADA x 1 kg,/Frutas y Verduras/Verduras/Verduras sueltas/,159.0,159.0,https://www.hiperlibertad.com.ar/papa-cepillada-x-1-kg/p,665,471921
CEBOLLA X 500 G,CEBOLLA x 500 g,/Frutas y Verduras/Verduras/Verduras sueltas/,139.0,139.0,https://www.hiperlibertad.com.ar/cebolla-x-500-g/p,796,471920
MILANESA DE NALGA DE NOVILLO X 500 G,MILANESA DE NALGA DE NOVILLO x 500 g,/CARNES/Carne vacuna/,639.0,639.0,https://www.hiperlibertad.com.ar/milanesa-de-nalga-de-novillo-x-500-g/p,517,471759
QUESO P. SALUT LA PAULINA X 250 G,QUESO P. SALUT LA PAULINA X 250 G,/QUESOS Y FIAMBRES/Quesos/Quesos blandos/,286.99,286.99,https://www.hiperlibertad.com.ar/queso-p-salut-la-paulina-x-250-g/p,90,471533
QUESO CREMOSO LA PAULINA X 500 G,QUESO CREMOSO LA PAULINA X 500 G,/QUESOS Y FIAMBRES/Quesos/Quesos blandos/,499.49,499.49,https://www.hiperlibertad.com.ar/queso-cremoso-la-paulina-x-500-g/p,645,471529
YERBA PLAYADITO SUAVE BCP 1KG,YERBA PLAYADITO SUAVE BCP 1KG,/Almacén/Desayuno y Merienda/Yerbas/,738.99,738.99,https://www.hiperlibertad.com.ar/yerba-playadito-suave-bcp-1kg/p,519,467226
Aceite Pureza Girasol 900 cc ACEITE GIRASOL PUREZA X 900,Aceite Pureza Girasol 900 cc,/Almacén/Aceites y Vinagres/Aceites de Girasol/,509.99,509.99,https://www.hiperlibertad.com.ar/aceite-pureza-girasol-900-cc/p,1413,460692
Tomate Triturado Tiempo Libre Botella x 950 Gr TOMATE TRITURADO TIEMPO LIBRE,Tomate Triturado Tiempo Libre Botella x 950 Gr,/Almacén/Conservas/Conservas de tomate/,329.99,189.99,https://www.hiperlibertad.com.ar/tomate-triturado-tiempo-libre-botella-x-950-gr/p,1739,457309
Crema De Leche Larga Vida Armonia 200Cc CREMA ARMONIA UAT 200 GR.-,Crema De Leche Larga Vida Armonia 200Cc,/Lácteos/Cremas/Frescas/,119.22,119.22,https://www.hiperlibertad.com.ar/crema-de-leche-larga-vida-armonia-200cc/p,76,455433
Harina de trigo Morixe leudante 1 Kg,Harina de trigo Morixe leudante 1 Kg,/Almacén/Harinas/Harinas Comunes y Leudantes/,183.99,139.99,https://www.hiperlibertad.com.ar/harina-de-trigo-morixe-leudante-1-kg/p,4565,440951
Queso Manfrey Blanco Gourmet  X 290 Grs,Queso Manfrey Blanco Gourmet  X 290 Grs,/QUESOS Y FIAMBRES/Quesos/Quesos untables/,186.24,186.24,https://www.hiperlibertad.com.ar/queso-manfrey-blanco-gourmet-x-290-grs/p,60,436197
Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,/Lácteos/Leches/Larga Vida/,149.49,149.49,https://www.hiperlibertad.com.ar/leche-parcialmente-descremada-uat-manfrey-larga-vida-1-l/p,23239,423283
Lentejas Egran Super Rapidas 400 Gr,Lentejas Egran Super Rapidas 400 Gr,/Almacén/Arroz y Legumbres/Legumbres/,247.99,247.99,https://www.hiperlibertad.com.ar/lentejas-egran-super-rapidas-400-gr/p,3472,369156
Crema Dental Colgate Ultra Blanco 90 gr,Crema Dental Colgate Ultra Blanco 90 gr,/Perfumería/Cuidado Oral/Pastas Dentales/,204.51,204.51,https://www.hiperlibertad.com.ar/crema-dental-colgate-ultra-blanco-90-gr/p,777,359593
Dulce de Leche Clasico Manfrey 400 Gr,Dulce de Leche Clasico Manfrey 400 Gr,/Lácteos/Dulce de Leche/Tradicional/,220.49,220.49,https://www.hiperlibertad.com.ar/dulce-de-leche-clasico-manfrey-400-gr/p,776,247319
LOMO ATUN GDC NATUR. X170GR,LOMO ATUN GDC NATURAL X 170GR,/Almacén/Conservas/Conservas de pescado/,407.49,269.99,https://www.hiperlibertad.com.ar/lomo-atun-gdc-natur-x170gr/p,547,195695
Papel higiénico Campanita Soft 4 Un 80 Mt,Papel higiénico Campanita Soft 4 Un 80 Mt,/Limpieza/Papeles/Papel Higiénico/,373.99,373.99,https://www.hiperlibertad.com.ar/papel-higienico-campanita-soft-4-un-80-mt/p,1090,175752
Manteca La Paulina 100 gr,Manteca La Paulina 100 gr,/Lácteos/Mantecas y Margarinas/Mantecas/,178.99,178.99,https://www.hiperlibertad.com.ar/manteca-la-paulina-100-gr/p,13,147125
Salchichas Paladini x 6 un SALCHICHAS V.PALADINI     X6UN,Salchichas Paladini x 6 un,/QUESOS Y FIAMBRES/Salchichas/,154.48,154.48,https://www.hiperlibertad.com.ar/salchichas-paladini-x-6-un/p,167,78114
Polenta Prestopronta 500 Gr,Polenta Prestopronta 500 Gr,/Almacén/Harinas/Polentas/,106.6,106.6,https://www.hiperlibertad.com.ar/polenta-prestopronta-500-gr/p,1348,60060
Sal fina Celusal 500 Gr SAL CELUSAL FINA (E)    X500GR,Sal fina Celusal 500 Gr,"/Almacén/Sal, Pimienta y Especias/Sal/",86.49,86.49,https://www.hiperlibertad.com.ar/sal-fina-celusal-500-gr/p,179,9021
CHOCLO AMARILLO EN GRANOS INALPA X 300 Gr,CHOCLO AMARILLO EN GRANOS INALPA X 300 Gr,/Almacén/Conservas/Conservas de verduras y legumbres/,139.99,119.99,https://www.hiperlibertad.com.ar/choclo-amarillo-en-granos-inalpa-x-300-gr/p,3174,487102
JABON DOVE BLANCO ORIGINAL X 90 Gr,JABON DOVE BLANCO ORIGINAL X 90 Gr,/Perfumería/Cuidado Personal/Jabones/,179.99,179.99,https://www.hiperlibertad.com.ar/jabon-dove-blanco-original-x-90-gr/p,3316,487010
GALLETAS TERRABUSI VARIEDAD MIX X 590 Gr,GALLETAS TERRABUSI VARIEDAD MIX X 590 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,431.49,408.49,https://www.hiperlibertad.com.ar/galletas-terrabusi-variedad-mix-x-590-gr/p,1412,486773
GALLETAS TERRABUSI VARIEDAD MIX X 170 Gr,GALLETAS TERRABUSI VARIEDAD MIX X 170 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,132.99,132.99,https://www.hiperlibertad.com.ar/galletas-terrabusi-variedad-mix-x-170-gr/p,909,486772
JABON LIQUIDO SKIP PARA DILUIR BIO ENZIMAS X 500 Ml + BOTELLA REUTILIZABLE,JABON LIQUIDO SKIP PARA DILUIR BIO ENZIMAS X 500 Ml + BOTELLA REUTILIZABLE,/Limpieza/Cuidado de la Ropa/Jabón Líquido/,1376.99,908.99,https://www.hiperlibertad.com.ar/jabon-liquido-skip-para-diluir-bio-enzimas-x-500-ml-botella-reutilizable/p,7,486273
LIMPIADOR EN CREMA CIF BIO ACTIVE ORIGINAL X 500 ml,LIMPIADOR EN CREMA CIF BIO ACTIVE ORIGINAL X 500 ml,/Limpieza/Limpieza de Cocina/Limpiadores/,302.99,200.0,https://www.hiperlibertad.com.ar/limpiador-en-crema-cif-bio-active-original-x-500-ml/p,1596,485887
LIMPIADOR LIQUIDO CIF BIOACTIVE VIDRIOS X 450 Ml,LIMPIADOR LIQUIDO CIF BIOACTIVE VIDRIOS X 450 Ml,/Limpieza/Limpieza de Cocina/Limpiadores/,137.99,91.99,https://www.hiperlibertad.com.ar/limpiador-liquido-cif-bioactive-vidrios-x-450-ml/p,887,485809
DETERGENTE LAVAVAJILLAS CIF BIO ACTIVE LIMA X 450 Ml,DETERGENTE LAVAVAJILLAS CIF BIO ACTIVE LIMA X 450 Ml,/Limpieza/Limpieza de Cocina/Detergentes/,228.99,228.99,https://www.hiperlibertad.com.ar/detergente-lavavajillas-cif-bio-active-lima-x-450-ml/p,113,485806
JUGO EN POLVO CLIGHT LIMONADA ROSA X 20 Gr,JUGO EN POLVO CLIGHT LIMONADA ROSA X 20 Gr,/Bebidas/JUGOS/EN POLVO/,46.89,46.89,https://www.hiperlibertad.com.ar/jugo-en-polvo-clight-limonada-rosa-x-20-gr/p,1134,485693
CALDO KNORR VERDURAS DESHIDRATADO X 12 U,CALDO KNORR VERDURAS DESHIDRATADO X 12 U,"/Almacén/Caldos, Sopas y Puré/Caldos/",208.79,208.79,https://www.hiperlibertad.com.ar/caldo-knorr-verduras-deshidratado-x-12-u/p,3691,485450
MAYONESA HELLMANNS CLASICA X 950 Gr,MAYONESA HELLMANNS CLASICA X 950 Gr,/Almacén/Aderezos/Mayonesas/,411.99,411.99,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-clasica-x-950-gr/p,198,485426
ARVEJAS INALPA SECAS REMOJADAS X 300 Gr ARVEJAS SEC.REMOJ. INALPA,ARVEJAS INALPA SECAS REMOJADAS X 300 Gr,/Almacén/Conservas/Conservas de verduras y legumbres/,65.55,65.55,https://www.hiperlibertad.com.ar/arvejas-inalpa-secas-remojadas-x-300-gr/p,91,485014
FIDEOS FAVORITA CODITO HIERRO X 500 GR CODITO FAVORITA HIERRO X500G.,FIDEOS FAVORITA CODITO HIERRO X 500 GR,/Almacén/Pastas Secas y Salsas/Fideos Guiseros/,79.14,79.14,https://www.hiperlibertad.com.ar/fideos-favorita-codito-hierro-x-500-gr/p,41,484712
DULCE DE LECHE CLÁSICO ILOLAY X 405 Gr,DULCE DE LECHE CLÁSICO ILOLAY X 405 Gr,/Lácteos/Dulce de Leche/Tradicional/,239.99,239.99,https://www.hiperlibertad.com.ar/dulce-de-leche-cl-sico-ilolay-x-405-gr/p,138,483974
PH.HIGIENOL.PETALOS DHX4UX30M,PH.HIGIENOL.PETALOS DHX4UX30M,/Limpieza/Papeles/Papel Higiénico/,396.99,396.99,https://www.hiperlibertad.com.ar/ph-higienol-petalos-dhx4ux30m/p,283,483715
DESODORANTE LYSOFORM AEROSOL ORIGINAL 360CC,DESODORANTE LYSOFORM AEROSOL ORIGINAL 360CC,/Limpieza/Desodorantes de ambiente/Desodorantes y Desinfentantes/,265.99,265.99,https://www.hiperlibertad.com.ar/desodorante-lysoform-aerosol-original-360cc/p,110,482702
SUAVIZANTE PARA ROPA VIVERE VIOLETAS Y FLORES BLANCAS X 900 Ml,SUAVIZANTE PARA ROPA VIVERE VIOLETAS Y FLORES BLANCAS X 900 Ml,/Limpieza/Cuidado de la Ropa/Suavizantes/,204.92,204.92,https://www.hiperlibertad.com.ar/suavizante-para-ropa-vivere-violetas-y-flores-blancas-x-900-ml/p,128,482397
PURE DE PAPAS INSTANTANEO MAGGI ORIGINAL X 200 Gr,PURE DE PAPAS INSTANTANEO MAGGI ORIGINAL X 200 Gr,"/Almacén/Caldos, Sopas y Puré/Puré/",349.49,199.0,https://www.hiperlibertad.com.ar/pure-de-papas-instantaneo-maggi-original-x-200-gr/p,1174,482366
CAFE NESCAFE DOLCA CLASICO MAS AROMA X 170 Gr,CAFE NESCAFE DOLCA CLASICO MAS AROMA X 170 Gr,/Almacén/Desayuno y Merienda/Cafés/,952.49,557.1,https://www.hiperlibertad.com.ar/cafe-nescafe-dolca-clasico-aroma-x-170-gr/p,2967,481065
SV SUSSEX FAMILIARES X140 U SERVILLETAS SUSSEX FAMILIARES X 140 U,SV SUSSEX FAMILIARES X140 U,/Limpieza/Papeles/Servilletas/,430.99,200.0,https://www.hiperlibertad.com.ar/sv-sussex-familiares-x140-u/p,3374,480527
CALDO MAGGI DE VERDURAS X 114 Gr,CALDO MAGGI DE VERDURAS X 114 Gr,"/Almacén/Caldos, Sopas y Puré/Caldos/",171.99,109.0,https://www.hiperlibertad.com.ar/caldo-maggi-de-verduras-x-114-gr/p,1581,479791
BANANA X 1 Kg,BANANA X 1 Kg,/Frutas y Verduras/Frutas/,249.0,249.0,https://www.hiperlibertad.com.ar/banana-x-kg-ecomm/p,8,479692
OBLEA MILKA CHOCOPAUSE OREO 45 Gr,OBLEA MILKA CHOCOPAUSE OREO 45 Gr,/Almacén/Golosinas y Chocolates/Bocaditos/,171.49,171.49,https://www.hiperlibertad.com.ar/oblea-milka-chocopause-oreo-45-gr/p,304,479490
JAMON COCIDO PALADINI CLASICO X 200 Gr,JAMON COCIDO PALADINI CLASICO X 200 Gr,/QUESOS Y FIAMBRES/Fiambres/,299.49,299.49,https://www.hiperlibertad.com.ar/jamon-cocido-paladini-clasico-x-200-gr/p,985,479239
FIAMBRE FELA PARA EMPAREDADOS X 200 Gr,FIAMBRE FELA PARA EMPAREDADOS X 200 Gr,/QUESOS Y FIAMBRES/Fiambres/,108.99,108.99,https://www.hiperlibertad.com.ar/fiambre-fela-para-emparedados-x-200-gr/p,658,479236
BIZCOCHOS 9 DE ORO AZUCARADOS X 210 GR,BIZCOCHOS 9 DE ORO AZUCARADOS X 210 GR,/Almacén/Desayuno y Merienda/Galletitas dulces/,172.99,100.79,https://www.hiperlibertad.com.ar/bizcochos-9-de-oro-azucarados-x-210-gr/p,2223,478991
TE LA VIRGINIA NI 50SAQ TE LA VIRGINIA 50 SAQUITOS,TE LA VIRGINIA NI 50SAQ,/Almacén/Desayuno y Merienda/Tés/,175.99,175.99,https://www.hiperlibertad.com.ar/te-la-virginia-ni-50saq/p,666,477096
PAPEL HIGIÉNICO HIGIENOL DUO 4U X 50M,PAPEL HIGIÉNICO HIGIENOL DUO 4U X 50M,/Limpieza/Papeles/Papel Higiénico/,774.99,774.99,https://www.hiperlibertad.com.ar/papel-higienico-higienol-duo-4u-x-50m/p,3685,476156
PH.ELITE.EXTRA SHX6UX30M.- PAPEL HIGIENICO ELITE EXTRA SH X 6U X 30M,PH.ELITE.EXTRA SHX6UX30M.-,/Limpieza/Papeles/Papel Higiénico/,416.99,416.99,https://www.hiperlibertad.com.ar/ph-elite-extra-shx6ux30m/p,8173,475463
MAYONESA DANICA X 500CC,MAYONESA DANICA X 500CC,/Almacén/Aderezos/Mayonesas/,259.49,259.49,https://www.hiperlibertad.com.ar/mayonesa-danica-x-500cc/p,245,475373
FIDEOS SPAGHETTI MATARAZZO RINA ESPINACA X 500 Gr,FIDEOS SPAGHETTI MATARAZZO RINA ESPINACA X 500 Gr,/Almacén/Pastas Secas y Salsas/Fideos Largos/,244.99,175.0,https://www.hiperlibertad.com.ar/fideos-spaghetti-matarazzo-rina-espinaca-x-500-gr/p,805,474835
FIDEOS MATARAZZO RINA MORRÓN,FIDEOS MATARAZZO RINA MORRÓN,/Almacén/Pastas Secas y Salsas/Fideos Largos/,244.99,175.0,https://www.hiperlibertad.com.ar/fideos-matarazzo-rina-morron/p,925,474834
JUGO EN POLVO CLIGHT NARANJA x 8 Gr. JUGO CLIGHT NARANJA VITAMINA C+D 8 GR,JUGO EN POLVO CLIGHT NARANJA x 8 Gr.,/Bebidas/JUGOS/EN POLVO/,46.89,46.89,https://www.hiperlibertad.com.ar/clight-naranja-vitc-d-8g/p,2200,473795
CLIGHT LIMONADA VITC+D 8G,CLIGHT LIMONADA VITC+D 8G,/Bebidas/JUGOS/EN POLVO/,46.89,46.89,https://www.hiperlibertad.com.ar/clight-limonada-vitc-d-8g/p,2910,473777
SUAVIZANTE DOWNY LIRIOS DE CAMPO 500ML SUAVIZANTE DOWNY LIRIOS DE CAMPO 500,SUAVIZANTE DOWNY LIRIOS DE CAMPO 500ML,/Limpieza/Cuidado de la Ropa/Suavizantes/,471.99,471.99,https://www.hiperlibertad.com.ar/suavizante-downy-lirios-de-camp-500ml/p,53,473551
GALLETAS TERRABUSI ANILLOS CLASICOS X 160GR,GALLETAS TERRABUSI ANILLOS CLASICOS X 160GR,/Almacén/Desayuno y Merienda/Galletitas dulces/,130.49,130.49,https://www.hiperlibertad.com.ar/galletas-terrabusi-anillos-clasicos-x-160gr/p,66,473105
COMBO ASADO X 2.5KG,"EL COMBO INCLUYE 1KG DE COSTILLA, 800GR DE VACÍO Y 700GR DE MATAMBRE",/CARNES/Carne vacuna/,2247.5,2247.5,https://www.hiperlibertad.com.ar/combo-asado-x-un/p,499,472909
MATECOCIDO TARAGUI S/E DIA 50 SAQUITOS,MATECOCIDO TARAGUI S/E DIA 50 SAQUITOS,/Almacén/Desayuno y Merienda/Yerbas/,292.49,197.1,https://www.hiperlibertad.com.ar/matecocido-taragui-s-e-dia-50-saquitos/p,9,472251
ROLLO DE COCINA CAMPANITA PRACTIROLLO 1 X 200,ROLLO DE COCINA CAMPANITA PRACTIROLLO 1 X 200,/Limpieza/Papeles/Rollos de Cocina/,364.49,364.49,https://www.hiperlibertad.com.ar/rollo-de-cocina-campanita-practirollo-1-x-200/p,2607,472063
BONDIOLA DE CERDO X 500 G,BONDIOLA DE CERDO x 500 g,/CARNES/Carne de cerdo/,489.0,489.0,https://www.hiperlibertad.com.ar/bondiola-de-cerdo-x-500-g/p,20,471789
"POLLO FRESCO X UN. (APROX. 2,5KG)","POLLO FRESCO X UN. (APROX. 2,5KG)",/CARNES/Carne de Pollo/,897.5,897.5,https://www.hiperlibertad.com.ar/pollo-fresco-x-un-aprox-2-5kg/p,648,471729
LAVANDINA AYUDIN TRIPLE PODER LVDA X1,LAVANDINA AYUDIN TRIPLE PODER LVDA X1,/Limpieza/Lavandina/Lavandina en Gel/,142.99,124.99,https://www.hiperlibertad.com.ar/lavandina-ayudin-triple-poder-lvda-x1/p,1149,470669
GALLETAS OKEBON LECHE 3 CEREALES X 165 Gr,GALLETAS OKEBON LECHE 3 CEREALES X 165 Gr,/Almacén/Desayuno y Merienda/Galletitas dulces/,113.99,113.99,https://www.hiperlibertad.com.ar/galletas-okebon-leche-3-cereales-x-165-gr/p,12,470202
Yogur La Serenísima Batido Frutilla 120gr YOGUR LSC  BAT D FRUTILLA 120G,Yogur La Serenísima Batido Frutilla 120gr,/Lácteos/Yogures/Firmes/,56.17,56.17,https://www.hiperlibertad.com.ar/yogur-la-serenisima-batido-frutilla-120gr/p,48,469283
CREMA DENTAL KOLYNOS 123 90 GR,CREMA DENTAL KOLYNOS 123 90 GR,/Perfumería/Cuidado Oral/Pastas Dentales/,111.21,111.21,https://www.hiperlibertad.com.ar/crema-dental-kolynos-123-90-gr/p,1160,468710
GALLETAS HOGAREÑAS SALV PACK 3 X200,GALLETAS HOGAREÑAS SALV PACK 3 X200,/Almacén/Desayuno y Merienda/Galletitas saladas/,307.99,220.5,https://www.hiperlibertad.com.ar/galletas-hogarenas-salv-pack-3-x200/p,29,468161
CHOCLO AMARILLO CREMOSO IDOLO X 350 GR,CHOCLO AMARILLO CREMOSO IDOLO X 350 GR,/Almacén/Conservas/Conservas de verduras y legumbres/,99.99,99.99,https://www.hiperlibertad.com.ar/choclo-amarillo-cremoso-idolo-x-350-gr/p,89,467929
ARROZ LF 00000 VANGUARDIA X1K,ARROZ LF 00000 VANGUARDIA X1K,/Almacén/Arroz y Legumbres/Arroz/,113.49,113.49,https://www.hiperlibertad.com.ar/arroz-lf-00000-vanguardia-x1k/p,1041,464916
LIMON X 500G,LIMON X 500G,/Frutas y Verduras/Frutas/Frutas sueltas/,49.0,49.0,https://www.hiperlibertad.com.ar/limon-x-500g/p,760,464576
MANDARINA X 1KG,MANDARINA X 1KG,/Frutas y Verduras/Frutas/Frutas sueltas/,149.0,149.0,https://www.hiperlibertad.com.ar/mandarina-x-1kg/p,532,464575
